Type,ConID,AssetType,SecurityID,CUSIP,Symbol,BBTicker,BBTickerAndExchangeCode,BBGlobalID,Description,UnderlyingSymbol,UnderlyingCategory,UnderlyingSecurityId,UnderlyingPrimaryExchange,UnderlyingConID,Multiplier,ExpirationDate,OptionType,OptionStrike,MaturityDate,IssueDate,PrimaryExchange,Currency,SubCategory,Issuer,DeliveryMonth,
D,10880,STK,US6745991058,674599105,OXY,OXY,OXY US,BBG000BQQ2S6,OCCIDENTAL PETROLEUM CORP,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,13116,STK,US9022521051,902252105,TYL,TYL,TYL US,BBG000BVWZF9,TYLER TECHNOLOGIES INC,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,13497,STK,US91913Y1001,91913Y100,VLO,VLO,VLO US,BBG000BBGGQ1,VALERO ENERGY CORP,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,141432825,FUND,US3159117502,315911750,FXAIX,,,,Fidelity FIDELITY 500 INDEX,,,,,,1,,,,,,,USD,,,,
D,1520593,STK,US46625H1005,46625H100,JPM,JPM,JPM US,BBG000DMBXR2,JPMORGAN CHASE & CO,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,15547841,STK,US4642874329,464287432,TLT,TLT,TLT US,BBG000BJKYW3,ISHARES 20+ YEAR TREASURY BO,,,,,,1,,,,,,NASDAQ,USD,ETF,,,
D,158655765,STK,US36162J1060,36162J106,GEO,GEO,GEO US,BBG000GC0TZ3,GEO GROUP INC/THE,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,199169591,STK,US70450Y1038,70450Y103,PYPL,PYPL,PYPL US,BBG0077VNXV6,PAYPAL HOLDINGS INC,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,208813720,STK,US02079K1079,02079K107,GOOG,GOOG,GOOG US,BBG009S3NB30,ALPHABET INC-CL C,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,248682005,STK,US26856L1035,26856L103,ELF,ELF,ELF US,BBG00DQ6VYP3,ELF BEAUTY INC,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,272093,STK,US5949181045,594918104,MSFT,MSFT,MSFT US,BBG000BPH459,MICROSOFT CORP,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,272997,STK,US22160K1051,22160K105,COST,COST,COST US,BBG000F6H8W8,COSTCO WHOLESALE CORP,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,288771051,STK,US09215C1053,09215C105,BKI,BKI,BKI US,BBG00GX77LW3,BLACK KNIGHT INC,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,320227571,STK,US46090E1038,46090E103,QQQ,QQQ,QQQ US,BBG000BSWKH7,INVESCO QQQ TRUST SERIES 1,,,,,,1,,,,,,NASDAQ,USD,ETF,,,
D,337722877,STK,US92511U1025,92511U102,VRRM,VRRM,VRRM US,BBG00G4XQ9Z1,VERRA MOBILITY CORP,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,3691937,STK,US0231351067,023135106,AMZN,AMZN,AMZN US,BBG000BVPV84,AMAZON.COM INC,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,4627828,STK,US38141G1040,38141G104,GS,GS,GS US,BBG000C6CFJ5,GOLDMAN SACHS GROUP INC,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,4725941,STK,US00760J1088,00760J108,AEHR,AEHR,AEHR US,BBG000BWM083,AEHR TEST SYSTEMS,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,578327143,STK,US25401T6038,25401T603,DBRG,DBRG,DBRG US,BBG00D30HGP6,DIGITALBRIDGE GROUP INC,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,592779810,OPT,,,SI    221216C00065000,SI 12 C65,,BBG01B4JM0M9,SI 16DEC22 65 C,SI,STK,US82837P4081,NYSE,390341192,100,20221216,C,65,,,CBOE,USD,,,2022-12,
D,6459,STK,US2546871060,254687106,DIS,DIS,DIS US,BBG000BH4R78,WALT DISNEY CO/THE,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,6917,STK,US29476L1070,29476L107,EQR,EQR,EQR US,BBG000BG8M31,EQUITY RESIDENTIAL,,,,,,1,,,,,,NYSE,USD,REIT,,,
D,756733,STK,US78462F1030,78462F103,SPY,SPY,SPY US,BBG000BDTBL9,SPDR S&P 500 ETF TRUST,,,,,,1,,,,,,ARCA,USD,ETF,,,
D,76792991,STK,US88160R1014,88160R101,TSLA,TSLA,TSLA US,BBG000N9MNX3,TESLA INC,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,8153,STK,US4404521001,440452100,HRL,HRL,HRL US,BBG000BLF8D2,HORMEL FOODS CORP,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,9579970,STK,US4642876555,464287655,IWM,IWM,IWM US,BBG000CGC9C4,ISHARES RUSSELL 2000 ETF,,,,,,1,,,,,,ARCA,USD,ETF,,,
D,9579976,STK,US4642878049,464287804,IJR,IJR,IJR US,BBG000BWCNN7,ISHARES CORE S&P SMALL-CAP E,,,,,,1,,,,,,ARCA,USD,ETF,,,
